Epochs,Optimizer,Activation_Function,Train_Loss,Train_Accuracy,Train_Recall,Val_Loss,Val_Accuracy,Val_Precision,Val_Recall
13,Adagrad,relu,2.0979690551757812,0.25498008728027344,0.4621514081954956,1.4882320165634155,0.2568807303905487,,0.2568807303905487
25,Rmsprop,relu,1.5409667491912842,0.26693227887153625,0.5338645577430725,1.4466938972473145,0.2568807303905487,,0.7155963182449341
19,Adagrad,relu,1.9331731796264648,0.2788844704627991,0.5458167195320129,1.4917993545532227,0.2568807303905487,,0.2568807303905487
8,Rmsprop,relu,1.7839595079421997,0.28286853432655334,0.5139442086219788,1.4592747688293457,0.2568807303905487,,0.7155963182449341
14,Adagrad,relu,2.281418561935425,0.1872510015964508,0.4501992166042328,1.4939147233963013,0.2568807303905487,,0.2568807303905487
23,Rmsprop,relu,1.6885205507278442,0.2031872570514679,0.4780876636505127,1.4213930368423462,0.2568807303905487,,0.7155963182449341
24,Adagrad,relu,1.9756367206573486,0.2589641511440277,0.5059760808944702,1.4680439233779907,0.2568807303905487,,0.2568807303905487
3,Rmsprop,relu,1.9764540195465088,0.22709164023399353,0.4741035997867584,1.428390622138977,0.2568807303905487,,0.7155963182449341
9,Adagrad,relu,1.976393461227417,0.25498008728027344,0.4661354720592499,1.4612672328948975,0.2568807303905487,,0.2568807303905487
6,Adagrad,relu,2.065980911254883,0.19521912932395935,0.4741035997867584,1.4285898208618164,0.2568807303905487,,0.2568807303905487
21,Adam,relu,1.5533720254898071,0.2749004065990448,0.5219123363494873,1.38795804977417,0.2568807303905487,,0.2568807303905487
19,Rmsprop,relu,1.6893151998519897,0.2868525981903076,0.49800798296928406,1.4238460063934326,0.2568807303905487,,0.7155963182449341
22,Adam,relu,1.471588134765625,0.28286853432655334,0.49800798296928406,1.389351487159729,0.2568807303905487,,0.2568807303905487
14,Rmsprop,relu,1.7128609418869019,0.22709164023399353,0.5537848472595215,1.4267115592956543,0.2568807303905487,,0.7155963182449341
25,Adam,relu,1.5035560131072998,0.25498008728027344,0.5019920468330383,1.3953807353973389,0.2568807303905487,,0.5137614607810974
17,Rmsprop,relu,1.7365466356277466,0.23904383182525635,0.5179283022880554,1.4487354755401611,0.2568807303905487,,0.7155963182449341
3,Adam,relu,1.963222861289978,0.22709164023399353,0.5577689409255981,1.3853815793991089,0.2568807303905487,,0.5137614607810974
8,Adam,relu,1.8750500679016113,0.1872510015964508,0.4900398552417755,1.3872137069702148,0.2568807303905487,,0.5137614607810974
2,Adam,relu,2.1319990158081055,0.22310757637023926,0.45816734433174133,1.3871181011199951,0.2568807303905487,,0.2568807303905487
11,Adam,relu,1.7286885976791382,0.24302789568901062,0.5378485918045044,1.3901325464248657,0.2568807303905487,,0.5137614607810974
22,Adagrad,relu,1.8632458448410034,0.28286853432655334,0.541832685470581,1.474541425704956,0.2568807303905487,,0.2568807303905487
23,Adagrad,relu,1.8605248928070068,0.2749004065990448,0.5378485918045044,1.4738891124725342,0.2568807303905487,,0.2568807303905487
19,Adam,relu,1.6394919157028198,0.2470119595527649,0.5139442086219788,1.3844045400619507,0.2568807303905487,,0.5412843823432922
10,Adam,relu,1.5691115856170654,0.3187251091003418,0.5458167195320129,1.3910133838653564,0.2568807303905487,,0.5137614607810974
17,Adam,relu,1.7128262519836426,0.24302789568901062,0.4661354720592499,1.383334994316101,0.2568807303905487,,0.5412843823432922
16,Rmsprop,relu,1.613017201423645,0.2709163427352905,0.5498008131980896,1.4187054634094238,0.2568807303905487,,0.7155963182449341
24,Adam,relu,1.5405880212783813,0.24302789568901062,0.49800798296928406,1.3880443572998047,0.2568807303905487,,0.2568807303905487
25,Adagrad,relu,2.0475144386291504,0.2470119595527649,0.45816734433174133,1.4647287130355835,0.2568807303905487,,0.2568807303905487
16,Adagrad,relu,2.0571835041046143,0.262948215007782,0.4780876636505127,1.4979636669158936,0.2568807303905487,,0.2568807303905487
18,Rmsprop,relu,1.6877717971801758,0.2151394486427307,0.48207172751426697,1.4633114337921143,0.2568807303905487,,0.7155963182449341
18,Adagrad,relu,1.9574530124664307,0.2788844704627991,0.5378485918045044,1.4990767240524292,0.2568807303905487,,0.2568807303905487
9,Adam,relu,1.7117817401885986,0.22310757637023926,0.525896430015564,1.3902405500411987,0.2568807303905487,,0.5137614607810974
15,Rmsprop,relu,1.6144342422485352,0.262948215007782,0.5378485918045044,1.4201236963272095,0.2568807303905487,,0.7155963182449341
7,Adam,relu,1.7780165672302246,0.28286853432655334,0.4741035997867584,1.3864158391952515,0.2568807303905487,,0.5137614607810974
10,Rmsprop,relu,1.782436728477478,0.2709163427352905,0.5019920468330383,1.4584105014801025,0.2568807303905487,,0.7155963182449341
9,Rmsprop,relu,1.8259953260421753,0.22709164023399353,0.5019920468330383,1.4602152109146118,0.2568807303905487,,0.7155963182449341
24,Rmsprop,relu,1.5313246250152588,0.23505976796150208,0.5139442086219788,1.3926615715026855,0.2568807303905487,,1.0
16,Adam,relu,1.6953471899032593,0.2151394486427307,0.4462151527404785,1.3811699151992798,0.2568807303905487,,0.5412843823432922
4,Rmsprop,relu,2.1174399852752686,0.2589641511440277,0.47011953592300415,1.439778208732605,0.20183485746383667,,0.7155963182449341
20,Rmsprop,relu,1.5895193815231323,0.23904383182525635,0.4940239191055298,1.4364633560180664,0.2568807303905487,,0.7155963182449341
5,Adagrad,relu,1.8531140089035034,0.3187251091003418,0.5816733241081238,1.417979121208191,0.2568807303905487,,0.2568807303905487
