loss,accuracy
1.3224115371704102,0.35923075675964355
1.2132991552352905,0.42634615302085876
1.1715182065963745,0.44980770349502563
1.1232969760894775,0.48480769991874695
1.1133991479873657,0.497307687997818
1.068940281867981,0.5155768990516663
1.075049638748169,0.4996153712272644
0.9653677940368652,0.558269202709198
0.9487383365631104,0.563653826713562
0.9232960939407349,0.5832692384719849
0.8370357751846313,0.6180769205093384
0.7838778495788574,0.6526923179626465
0.7530820369720459,0.6540384888648987
0.7117926478385925,0.6996153593063354
0.6347243189811707,0.7476922869682312
0.5790871381759644,0.7703846096992493
0.5577893853187561,0.7742307782173157
0.5292444229125977,0.7967307567596436
0.4249453544616699,0.8478845953941345
0.3537474274635315,0.8713461756706238
