loss,accuracy
1.3868495225906372,0.24307692050933838
1.3864903450012207,0.24134615063667297
1.3864847421646118,0.24096153676509857
1.386407732963562,0.24269230663776398
1.3864796161651611,0.24634616076946259
1.3864120244979858,0.23903846740722656
1.3864223957061768,0.24346153438091278
1.3864376544952393,0.24076923727989197
1.3864680528640747,0.23846153914928436
1.386457085609436,0.23692308366298676
1.386425256729126,0.23692308366298676
1.3864039182662964,0.24211537837982178
1.386459469795227,0.24500000476837158
1.3863952159881592,0.24076923727989197
1.3864508867263794,0.24173076450824738
1.3864073753356934,0.23980769515037537
1.3864421844482422,0.24115385115146637
1.3864500522613525,0.24423076212406158
1.3863909244537354,0.23826922476291656
1.3864623308181763,0.24134615063667297
