loss,accuracy
1.4870833158493042,0.2524999976158142
1.3868272304534912,0.2507692277431488
1.38662850856781,0.24307692050933838
1.386565089225769,0.24326923489570618
1.3865782022476196,0.24153846502304077
1.386578917503357,0.24538461863994598
1.3864314556121826,0.24153846502304077
1.3865293264389038,0.24038460850715637
1.3864574432373047,0.2498076856136322
1.3864673376083374,0.23211538791656494
1.3864915370941162,0.24153846502304077
1.3864375352859497,0.23730769753456116
1.386492133140564,0.23519231379032135
1.386515498161316,0.23576922714710236
1.3864970207214355,0.2490384578704834
1.3864015340805054,0.2455769181251526
1.3864187002182007,0.24288462102413177
1.386443853378296,0.23653845489025116
1.3864129781723022,0.24153846502304077
1.3863921165466309,0.2478846162557602
